fold,framework,selection,model,n,events,c_statistic,calibration_slope,calibration_intercept,brier_score,net_benefit,set
3,landmark,backward,Landmark Cox - Backward,378,10,0.48682065217391063,-0.19751443156486262,-4.200925019292793,0.02726283903516608,0,CV fold
3,landmark,forward,Landmark Cox - Forward,378,10,0.48682065217391063,-0.19751443156486262,-4.200925019292793,0.02726283903516608,0,CV fold
3,landmark,group_lasso,Landmark Cox - Group lasso,378,10,0.6934782608695651,1.6259224849966394,1.1605881530094537,0.026183004056231075,0,CV fold
3,logistic,backward,Logistic - Backward,1205,38,0.7283971496865589,1.1196597624083373,0.26886052703005514,0.02918092214223587,0,CV fold
3,logistic,forward,Logistic - Forward,1205,38,0.7283971496865589,1.1196597624083373,0.26886052703005514,0.02918092214223587,0,CV fold
3,logistic,group_lasso,Logistic - Group lasso,1205,38,0.5,NA,-3.4246054725573782,0.030540831235222547,0,CV fold
4,cox,backward,Cox - Backward,1220,40,0.6926483050847481,0.7014363424472221,-0.9425625322822693,0.0310615330784707,8.19672131147541e-4,CV fold
4,cox,forward,Cox - Forward,1220,40,0.6926483050847481,0.7014363424472221,-0.9425625322822693,0.0310615330784707,8.19672131147541e-4,CV fold
4,cox,group_lasso,Cox - Group lasso,1220,40,0.7103601694915249,1.197394458635228,0.6377040169291754,0.030764506807662063,0,CV fold
4,landmark,backward,Landmark Cox - Backward,326,15,0.4852090032154339,-0.031269468806498314,-3.1282075161579828,0.044671927547668557,0,CV fold
4,landmark,forward,Landmark Cox - Forward,326,15,0.4852090032154339,-0.031269468806498314,-3.1282075161579828,0.044671927547668557,0,CV fold
4,landmark,group_lasso,Landmark Cox - Group lasso,326,15,0.4814576634512326,0.01373210706424931,-2.9883831395360554,0.04887186185577681,-0.003067484662576687,CV fold
4,logistic,backward,Logistic - Backward,1220,40,0.714915254237292,0.9832927535038973,-0.047251284785321826,0.030575952575639817,0,CV fold
4,logistic,forward,Logistic - Forward,1220,40,0.714915254237292,0.9832927535038973,-0.047251284785321826,0.030575952575639817,0,CV fold
4,logistic,group_lasso,Logistic - Group lasso,1220,40,0.5,NA,-3.384390263344567,0.03171380689316427,0,CV fold
5,cox,backward,Cox - Backward,1228,37,0.7278121950666052,0.9871891734773867,0.07035651539905655,0.028493734525491095,0,CV fold
5,cox,forward,Cox - Forward,1228,37,0.7278121950666052,0.9871891734773867,0.07035651539905655,0.028493734525491095,0,CV fold
5,cox,group_lasso,Cox - Group lasso,1228,37,0.7357206072571263,1.2955265793028106,1.0461051738789093,0.02852132973395389,0,CV fold
5,landmark,backward,Landmark Cox - Backward,270,14,0.6194196428571435,0.9984889487660344,0.14105748144673871,0.04876673887275073,0,CV fold
5,landmark,forward,Landmark Cox - Forward,270,14,0.5594308035714286,0.6298538182626483,-1.0150542155532394,0.04913803183234842,0,CV fold
5,landmark,group_lasso,Landmark Cox - Group lasso,270,14,0.5478515625000001,0.20339368091685517,-2.283578274225187,0.04941251235334905,0,CV fold
5,logistic,backward,Logistic - Backward,1228,37,0.7379558399709502,1.1875383665009587,0.7021539342195573,0.028351255275804364,0,CV fold
5,logistic,forward,Logistic - Forward,1228,37,0.7379558399709502,1.1875383665009587,0.7021539342195573,0.028351255275804364,0,CV fold
5,logistic,group_lasso,Logistic - Group lasso,1228,37,0.5,NA,-3.4716306567039332,0.02922626104386101,0,CV fold
